UK	UNIQUE_GLOSS	ENGLISH_GLOSS	LWT_KEY	LWT_GLOSS	PART_OF_SPEECH	SEMANTIC_FIELD	OMEGA_WIKI	EXAMPLE CONTEXT/EXPLANATION	ENGLISH_GLOSS	SPANISH_GLOSS	Alternative Omega Wiki Links	FRENCH_GLOSS	PORTUGUESE_GLOSS	GERMAN_TRANSLATION	RUSSIAN_GLOSS
91	THE SHORT DRY SEASON	short dry season	1.99909	the short dry season	Noun	The physical world	?		short dry season	corta estación seca ?		-	-	Trockenzeit	-
189	THE PARENT'S ELDER BROTHER	parent's elder brother	2.99911	the parent's elder brother	Noun	Kinship	<don't link>		parent's elder brother	-		-	-	Onkel	-
190	THE PARENT'S ELDER SISTER	parent's elder sister	2.99912	the parent's elder sister	Noun	Kinship	<don't link>		parent's elder sister	-		-	-	Tante	-
191	THE PARENT'S YOUNGER BROTHER	parent's younger brother	2.99913	the parent's younger brother	Noun	Kinship	don't link>		parent's younger brother	-		-	-	Onkel	-
192	THE PARENT'S YOUNGER SISTER	parent's younger sister	2.99914	the parent's younger sister	Noun	Kinship	don't link>		parent's younger sister	-		-	-	Tante	-
326	THE ANDEAN GUINEA PIG	Andean guinea pig	3.99904	the Andean guinea pig	Noun	Animals	<don't link>	It is raised for food, medicine and ritual in the Andes	Andean guinea pig	?		cochon d'Inde	-	?	-
327	THE ANDEAN OWL	Andean owl	3.99905	the Andean owl	Noun	Animals	<don't link>		Andean owl	búho andino		couchette	-	?	-
344	THE MAINE LOBSTER	Maine lobster	3.99925	the Maine lobster	Noun	Animals	<don't link>		Maine lobster	bogavante de Maine		homard	-	Hummer	-
346	THE MARAIL	marail	3.99928	the marail	Noun	Animals	<don't link>	k.o. bird	marail	-		-	-	?	-
349	THE SLEEPYHEAD BIRD	sleepyhead bird	3.99931	the sleepyhead bird	Noun	Animals	<don't link>		sleepyhead bird	-		-	-	?	-
632	THE AYAHUASCA	ayahuasca	5.99904	the ayahuasca	Noun	Food and drink	?	a psychoactive infusion prepared from the Banisteriopsis spp	ayahuasca			-	-	-	-
641	THE MANIOC JUICE	manioc juice	5.99913	the manioc juice	Noun	Food and drink	?		manioc juice	zumo de la yuca ?		-	-	-	-
639	THE JAPANESE FISH CAKE	Japanese fish cake	5.99911	the Japanese fish cake	Noun	Food and drink	?		Japanese fish cake	croqueta de pescado japonésa ?		-	-	-	-
721	THE LEG BAND	leg band	6.99904	the leg band	Noun	Clothing and grooming	?		leg band	-		-	-	-	-
646	THE ROASTED CASSAVA MEAL	roasted cassava meal	5.99917	the roasted cassava meal	Noun	Food and drink	?		roasted cassava meal			-	-	-	-
